#---------------
# UCP PROD
#---------------
# else  - red
# green - wget green, else ping - yellow
#----------------------------------------------------------------------
#     Groupname;InstanceName;URL;Port;OverlayPort;Priority;Label
#----------------------------------------------------------------------

UCPProd;sv3-orca-0309e0b1;sv3-orca-0309e0b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e0b2;sv3-orca-0309e0b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e0b3;sv3-orca-0309e0b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e0b4;sv3-orca-0309e0b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e1b1;sv3-orca-0309e1b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e1b2;sv3-orca-0309e1b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e1b3;sv3-orca-0309e1b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e1b4;sv3-orca-0309e1b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e2b1;sv3-orca-0309e2b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e2b2;sv3-orca-0309e2b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e2b3;sv3-orca-0309e2b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e2b4;sv3-orca-0309e2b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e3b1;sv3-orca-0309e3b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e3b2;sv3-orca-0309e3b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e3b3;sv3-orca-0309e3b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e3b4;sv3-orca-0309e3b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e4b1;sv3-orca-0309e4b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e4b2;sv3-orca-0309e4b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e4b3;sv3-orca-0309e4b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e4b4;sv3-orca-0309e4b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e5b1;sv3-orca-0309e5b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e5b2;sv3-orca-0309e5b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e5b3;sv3-orca-0309e5b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e5b4;sv3-orca-0309e5b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e6b1;sv3-orca-0309e6b1.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e6b2;sv3-orca-0309e6b2.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e6b3;sv3-orca-0309e6b3.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e6b4;sv3-orca-0309e6b4.sv.splunk.com;12376;7946;1;0309e
UCPProd;sv3-orca-0309e7b1;sv3-orca-0309e7b1.sv.splunk.com;12376;7946;1;0309e
