# green - wget green, else ping - yellow
# else  - red
#Groupname;InstanceName;URL;Port
UCPProd0308e1;sv3-orca-0308e1b1;sv3-orca-0308e1b1.sv.splunk.com:12376;12376
UCPProd0309e4;sv3-orca-0309e4b1;sv3-orca-0309e4b1.sv.splunk.com:12376;12376
UCPProd0312e2;sv3-orca-0312e2b3;sv3-orca-0312e2b3.sv.splunk.com:12376;12376
UCPProd0312e2;sv3-orca-0312e2b2;sv3-orca-0312e2b2.sv.splunk.com:12376;12376
UCPProd0308e2;sv3-orca-0308e2b1;sv3-orca-0308e2b1.sv.splunk.com:12376;12376
UCPProd0408e9;sv3-orca-0408e9b4;sv3-orca-0408e9b4.sv.splunk.com:12376;12376
UCPProd0315e1;sv3-orca-0315e1b3;sv3-orca-0315e1b3.sv.splunk.com:12376;12376
UCPMasterProd;Master02;sv3-orca-ucp-002.sv.splunk.com:12376;12376
UCPMasterProd;Master01;sv3-orca-ucp-001.sv.splunk.com:12376;12376
UCPMasterProd;Master03;sv3-orca-ucp-003.sv.splunk.com:12376;12376
UCPProd0307e1;sv3-orca-0307e1b2;sv3-orca-0307e1b2.sv.splunk.com:12376;12376
UCPProd0314e0;sv3-orca-0314e0b3;sv3-orca-0314e0b3.sv.splunk.com:12376;12376
UCPProd0311e0;sv3-orca-0311e0b1;sv3-orca-0311e0b1.sv.splunk.com:12376;12376
UCPProd0315e0;sv3-orca-0315e0b3;sv3-orca-0315e0b3.sv.splunk.com:12376;12376
UCPProd0312e9;sv3-orca-0312e9b4;sv3-orca-0312e9b4.sv.splunk.com:12376;12376
UCPProd0310e2;sv3-orca-0310e2b3;sv3-orca-0310e2b3.sv.splunk.com:12376;12376
UCPProd0312e6;sv3-orca-0312e6b4;sv3-orca-0312e6b4.sv.splunk.com:12376;12376
UCPProd0309e6;sv3-orca-0309e6b4;sv3-orca-0309e6b4.sv.splunk.com:12376;12376
UCPProd0309e6;sv3-orca-0309e6b1;sv3-orca-0309e6b1.sv.splunk.com:12376;12376
UCPProd0409e5;sv3-orca-0409e5b3;sv3-orca-0409e5b3.sv.splunk.com:12376;12376
UCPProd0312e5;sv3-orca-0312e5b2;sv3-orca-0312e5b2.sv.splunk.com:12376;12376
UCPProd0312e9;sv3-orca-0312e9b3;sv3-orca-0312e9b3.sv.splunk.com:12376;12376
UCPProd0309e2;sv3-orca-0309e2b1;sv3-orca-0309e2b1.sv.splunk.com:12376;12376
UCPProd0408e7;sv3-orca-0408e7b2;sv3-orca-0408e7b2.sv.splunk.com:12376;12376
UCPProd0409e4;sv3-orca-0409e4b1;sv3-orca-0409e4b1.sv.splunk.com:12376;12376
UCPProd0309e6;sv3-orca-0309e6b3;sv3-orca-0309e6b3.sv.splunk.com:12376;12376
UCPProd0408e3;sv3-orca-0408e3b1;sv3-orca-0408e3b1.sv.splunk.com:12376;12376
UCPProd0315e9;sv3-orca-0315e9b1;sv3-orca-0315e9b1.sv.splunk.com:12376;12376
UCPProd0312e0;sv3-orca-0312e0b3;sv3-orca-0312e0b3.sv.splunk.com:12376;12376
UCPProd0309e9;sv3-orca-0309e9b3;sv3-orca-0309e9b3.sv.splunk.com:12376;12376
UCPProd0309e6;sv3-orca-0309e6b2;sv3-orca-0309e6b2.sv.splunk.com:12376;12376
UCPProd0308e8;sv3-orca-0308e8b3;sv3-orca-0308e8b3.sv.splunk.com:12376;12376
UCPProd0311e6;sv3-orca-0311e6b3;sv3-orca-0311e6b3.sv.splunk.com:12376;12376
UCPProd0310e0;sv3-orca-0310e0b1;sv3-orca-0310e0b1.sv.splunk.com:12376;12376
UCPProd0310e0;sv3-orca-0310e0b4;sv3-orca-0310e0b4.sv.splunk.com:12376;12376
UCPProd0310e6;sv3-orca-0310e6b1;sv3-orca-0310e6b1.sv.splunk.com:12376;12376
UCPProd0313e5;sv3-orca-0313e5b4;sv3-orca-0313e5b4.sv.splunk.com:12376;12376
UCPProd0409e5;sv3-orca-0409e5b1;sv3-orca-0409e5b1.sv.splunk.com:12376;12376
UCPProd0309e5;sv3-orca-0309e5b3;sv3-orca-0309e5b3.sv.splunk.com:12376;12376
UCPProd0408e8;sv3-orca-0408e8b2;sv3-orca-0408e8b2.sv.splunk.com:12376;12376
UCPProd0315e5;sv3-orca-0315e5b2;sv3-orca-0315e5b2.sv.splunk.com:12376;12376
UCPProd0310e1;sv3-orca-0310e1b1;sv3-orca-0310e1b1.sv.splunk.com:12376;12376
UCPProd0314e5;sv3-orca-0314e5b3;sv3-orca-0314e5b3.sv.splunk.com:12376;12376
UCPProd0314e2;sv3-orca-0314e2b4;sv3-orca-0314e2b4.sv.splunk.com:12376;12376
UCPProd0311e7;sv3-orca-0311e7b2;sv3-orca-0311e7b2.sv.splunk.com:12376;12376
UCPProd0309e5;sv3-orca-0309e5b2;sv3-orca-0309e5b2.sv.splunk.com:12376;12376
UCPProd0311e9;sv3-orca-0311e9b1;sv3-orca-0311e9b1.sv.splunk.com:12376;12376
UCPProd0309e0;sv3-orca-0309e0b4;sv3-orca-0309e0b4.sv.splunk.com:12376;12376
UCPProd0315e5;sv3-orca-0315e5b3;sv3-orca-0315e5b3.sv.splunk.com:12376;12376
UCPProd0311e0;sv3-orca-0311e0b4;sv3-orca-0311e0b4.sv.splunk.com:12376;12376
UCPProd0312e4;sv3-orca-0312e4b2;sv3-orca-0312e4b2.sv.splunk.com:12376;12376
UCPProd0408e6;sv3-orca-0408e6b2;sv3-orca-0408e6b2.sv.splunk.com:12376;12376
UCPProd0313e0;sv3-orca-0313e0b4;sv3-orca-0313e0b4.sv.splunk.com:12376;12376
UCPProd0308e4;sv3-orca-0308e4b2;sv3-orca-0308e4b2.sv.splunk.com:12376;12376
UCPProd0310e8;sv3-orca-0310e8b4;sv3-orca-0310e8b4.sv.splunk.com:12376;12376
UCPProd0315e4;sv3-orca-0315e4b2;sv3-orca-0315e4b2.sv.splunk.com:12376;12376
UCPProd0311e4;sv3-orca-0311e4b2;sv3-orca-0311e4b2.sv.splunk.com:12376;12376
UCPProd0314e6;sv3-orca-0314e6b2;sv3-orca-0314e6b2.sv.splunk.com:12376;12376
UCPProd0408e6;sv3-orca-0408e6b3;sv3-orca-0408e6b3.sv.splunk.com:12376;12376
UCPProd0313e5;sv3-orca-0313e5b3;sv3-orca-0313e5b3.sv.splunk.com:12376;12376
UCPProd0314e4;sv3-orca-0314e4b4;sv3-orca-0314e4b4.sv.splunk.com:12376;12376
UCPProd0409e1;sv3-orca-0409e1b2;sv3-orca-0409e1b2.sv.splunk.com:12376;12376
